Name, ,Image,ClusterID,Area,Coverage (pc),lw_mean,mw_mean,sw_mean,lum_mean,RNL X,RNL Y,RNL Chromaticity,Dmax Chromaticity,Dmax channel,Adj1,hAdj1,vAdj1,Adj2,hAdj2,vAdj2,Adj3,hAdj3,vAdj3,Adj4,hAdj4,vAdj4
Botia_lohachata_C_5,1,Botia_lohachata_C_5_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,11551,95.890752117,0.380731959,0.31937488,0.273050774,0.348398651,2.02916852,-1.604760133,2.587040774,0.164704847,lw:sw,22779,11486,11293,86.0,29.0,57.0,3.0,3.0,0.0,,,
Botia_lohachata_C_5,2,Botia_lohachata_C_5_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,271,2.249709447,0.137589008,0.11253853,0.099960966,0.124387984,2.320678652,-1.47958479,2.752221023,0.15840053,lw:sw,86,29,57,460.0,243.0,217.0,34.0,19.0,15.0,,,
Botia_lohachata_C_5,3,Botia_lohachata_C_5_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,224,1.859538436,0.089216909,0.075003252,0.070246767,0.081726616,2.003869789,-1.061844904,2.26782026,0.118962154,lw:sw,3,3,0,34.0,19.0,15.0,410.0,202.0,208.0,,,
Botia_lohachata_C_6,1,Botia_lohachata_C_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,13956,82.055503293,0.416718554,0.343371335,0.287640832,0.378066765,2.235498286,-1.794056385,2.866372428,0.183255486,lw:sw,27318,13748,13570,852.0,373.0,479.0,2.0,1.0,1.0,,,
Botia_lohachata_C_6,2,Botia_lohachata_C_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,2724,16.015992474,0.250837021,0.207344491,0.177914901,0.227917422,2.198815495,-1.640873296,2.74358429,0.170079983,lw:sw,852,373,479,4813.0,2477.0,2336.0,46.0,34.0,12.0,,,
Botia_lohachata_C_6,3,Botia_lohachata_C_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,328,1.928504233,0.11057882,0.091991881,0.085132289,0.100783761,2.124988754,-1.173001637,2.427243302,0.130020884,lw:sw,2,1,1,46.0,34.0,12.0,602.0,292.0,310.0,,,
Botia_lohachata_C_7,1,Botia_lohachata_C_7_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,21926,100.0,0.165943904,0.136982589,0.120197199,0.150682114,2.214683297,-1.515239524,2.683425594,0.159874637,lw:sw,43422,21844,21578,,,,,,,,,
Botia_lohachata_C_8,1,Botia_lohachata_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_t1_WeberFiltered_itr5_rad5_fall3_t1,1,5483,29.408925123,0.245857718,0.208100914,0.18767849,0.225960974,1.92524287,-1.256601053,2.299044652,0.134196929,lw:sw,10160,5198,4962,1055.0,461.0,594.0,18.0,3.0,15.0,32.0,20.0,12.0
Botia_lohachata_C_8,2,Botia_lohachata_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_t1_WeberFiltered_itr5_rad5_fall3_t1,2,9162,49.141815061,0.360499329,0.302933535,0.265207184,0.330163902,2.008922423,-1.459000398,2.48283134,0.152295276,lw:sw,1055,461,594,17217.0,8716.0,8501.0,905.0,375.0,530.0,20.0,18.0,2.0
Botia_lohachata_C_8,3,Botia_lohachata_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_t1_WeberFiltered_itr5_rad5_fall3_t1,3,3730,20.006436387,0.541908848,0.44697902,0.382128685,0.491883743,2.22380755,-1.670880419,2.781575345,0.17291523,lw:sw,18,3,15,905.0,375.0,530.0,6994.0,3541.0,3453.0,0.0,0.0,0.0
Botia_lohachata_C_8,4,Botia_lohachata_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_t1_WeberFiltered_itr5_rad5_fall3_t1,4,269,1.442823428,0.175330526,0.14532891,0.131660568,0.159520598,2.167079519,-1.311928114,2.533256604,0.142251546,lw:sw,32,20,12,20.0,18.0,2.0,0.0,0.0,0.0,487.0,231.0,256.0
Botia_lohachata_P_1,1,Botia_lohachata_P_1_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,6264,36.302521008,0.348519064,0.30064891,0.263711629,0.323292949,1.706078183,-1.345323163,2.172693531,0.138522025,lw:sw,11427,5756,5671,823.0,408.0,415.0,1062.0,497.0,565.0,101.0,75.0,26.0
Botia_lohachata_P_1,2,Botia_lohachata_P_1_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,3721,21.564763837,0.530335837,0.453608212,0.395037133,0.489902736,1.80453834,-1.420630831,2.296638975,0.146209916,lw:sw,823,408,415,6890.0,3449.0,3441.0,243.0,129.0,114.0,4.0,4.0,0.0
Botia_lohachata_P_1,3,Botia_lohachata_P_1_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,5150,29.846421327,0.255307525,0.218055846,0.19253802,0.235676996,1.821177557,-1.345415535,2.264250572,0.140158824,lw:sw,1062,497,565,243.0,129.0,114.0,9115.0,4632.0,4483.0,644.0,330.0,314.0
Botia_lohachata_P_1,4,Botia_lohachata_P_1_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,4,2120,12.286293828,0.188696648,0.159131928,0.142814273,0.173116887,1.967704223,-1.29965447,2.358169131,0.13840381,lw:sw,101,75,26,4.0,4.0,0.0,644.0,330.0,314.0,3823.0,1898.0,1925.0
Botia_lohachata_P_10,1,Botia_lohachata_P_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,19898,76.660502389,0.379337915,0.316480879,0.275789623,0.346214176,2.091921749,-1.514166138,2.582408894,0.158058218,lw:sw,38725,19589,19136,1206.0,424.0,782.0,,,,,,
Botia_lohachata_P_10,2,Botia_lohachata_P_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,6058,23.339497611,0.611053844,0.511344827,0.443465884,0.558510261,2.05700718,-1.530474158,2.563909063,0.158923494,lw:sw,1206,424,782,11513.0,5846.0,5667.0,,,,,,
Botia_lohachata_P_11,1,Botia_lohachata_P_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,14958,69.24038328,0.613866713,0.503756969,0.42209085,0.555842251,2.282671392,-1.808688241,2.912377351,0.18511942,lw:sw,29150,14674,14476,1229.0,519.0,710.0,,,,,,
