Name, ,ClusterID_Particle#,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Area (px)
Botia_lohachata_C_11,4,1_4,61.104651163,24.104651163,61.104651163,24.104651163,34.627416998,13.502827305,8.109309138,45.000748794,0.901297407,14.212670404,56,29,39.289406863,8.485281374,1.665102054,0.60056379,0.924731183,86
Botia_lohachata_C_11,5,1_5,37.800458716,33.802752294,37.800458716,33.802752294,104.811183182,26.998114952,20.561896358,56.932895706,0.49874793,32.756678708,27,49,58.736268306,22.710810177,1.31301678,0.76160489,0.797074954,436
Botia_lohachata_C_11,6,1_6,15.743697479,28.693277311,15.743697479,28.693277311,42.526911935,15.783112049,9.59984985,138.981731863,0.826854567,16.124515497,12,22,119.744881297,10.606601718,1.644099887,0.608235551,0.875,119
Botia_lohachata_C_11,7,1_7,134.22519084,34.965648855,134.22519084,34.965648855,45.455844123,17.571345725,9.492407865,4.643459382,0.796712637,17.720045147,126,37,16.389540334,9.950371902,1.851094683,0.540220881,0.894197952,131
Botia_lohachata_C_11,8,1_8,163.139344262,34.090163934,163.139344262,34.090163934,27.798989873,10.034981457,7.739686672,170.064046159,0.991931469,10.770329614,158,32,158.198590514,8.0,1.296561719,0.77127065,0.903703704,61
Botia_lohachata_C_11,9,1_9,184.912371134,40.37628866,184.912371134,40.37628866,36.04163056,12.391895169,9.966533299,5.376873913,0.938367023,13.0,179,38,157.380135052,10.751744045,1.243350601,0.804278374,0.898148148,97
Botia_lohachata_C_11,10,1_10,236.982,53.168,236.982,53.168,121.39696962,40.342324713,15.780443415,139.394234735,0.426347948,47.16990566,217,37,147.994616792,21.72100935,2.556475991,0.391163462,0.692520776,500
Botia_lohachata_C_11,11,1_11,132.501231148,63.540935673,132.501231148,63.540935673,698.048773235,220.435670121,18.766269899,0.813107768,0.083789199,275.878596488,0,50,175.42607874,25.0,11.746376414,0.085132637,0.517768924,3249
Botia_lohachata_C_11,12,1_12,99.790697674,55.88372093,99.790697674,55.88372093,48.284271247,16.308004335,13.428816745,166.683896989,0.927100785,17.88854382,91,53,153.434948823,14.0,1.21440367,0.823449422,0.9373297,172
Botia_lohachata_C_11,13,2_1,133.918009145,33.872775237,133.918009145,33.872775237,966.693434176,269.621336637,67.127848093,1.342486331,0.191152151,284.269238575,0,0,165.328249204,72.0,4.016534781,0.24897083,0.717929293,14215
Botia_lohachata_C_12,1,1_1,134.97868326,37.283540747,134.97868326,37.283540747,1509.168614282,256.819264745,61.748477263,2.061278766,0.068719195,303.898009207,0,0,166.100936907,73.0,4.159118996,0.240435535,0.578360808,12455
Botia_lohachata_C_12,2,1_2,218.914893617,35.936170213,218.914893617,35.936170213,34.627416998,11.824132151,10.122055105,5.208332779,0.985139026,12.649110641,213,38,18.434948823,10.0,1.168155284,0.856050573,0.930693069,94
Botia_lohachata_C_12,3,2_1,164.607064096,29.665682578,164.607064096,29.665682578,1519.276262021,275.449859914,64.977082529,174.861791885,0.076529523,303.898009207,0,0,166.100936907,73.0,4.239184789,0.235894411,0.741402954,14057
Botia_lohachata_C_12,4,2_2,36.563157895,68.071428571,36.563157895,68.071428571,298.04163056,71.182012327,11.89491937,174.141977705,0.094075741,122.065556157,0,35,161.861917844,36.48008819,5.98423664,0.167105691,0.291602719,665
Botia_lohachata_C_13,1,1_1,172.921532477,43.432857895,172.921532477,43.432857895,1691.778787338,351.848780004,89.306203432,0.238102333,0.108355328,367.695526217,0,0,165.510237406,92.0,3.939802236,0.253819847,0.753511236,24679
